lig_name,LF Rank Score,LF dG,LF VSscore
LON-WEI-4d77710c-58	LON-WEI-4d77710c-58			99.0	21.31842268	17.56762457_D,-11.773,-8.640,-9.964
LON-WEI-4d77710c-61	LON-WEI-4d77710c-61			0.659520061	31.75505829	94.376_D,-13.842,-7.357,-9.931
LON-WEI-4d77710c-62	LON-WEI-4d77710c-62			99.0	6.144834757000001	30.8647_D,-8.332,-5.715,-6.687
LON-WEI-4d77710c-63	LON-WEI-4d77710c-63			99.0	18.76251245	3.156549394_D,-5.898,-6.195,-7.369
LON-WEI-4d77710c-64	LON-WEI-4d77710c-64			1.919059488	90.33652496	81.267_D,-11.488,-11.842,-11.878
LON-WEI-4d77710c-65	LON-WEI-4d77710c-65			0.164207869	8.30457902	69.8785_D,-10.981,-7.927,-9.051
LON-WEI-4d77710c-66	LON-WEI-4d77710c-66			0.521719931	34.96911526	77.037_D,-8.265,-7.405,-7.917
LON-WEI-4d77710c-67	LON-WEI-4d77710c-67			0.31906678	28.92225742	71.2034_D,-10.516,-8.175,-8.898
LON-WEI-4d77710c-69	LON-WEI-4d77710c-69			0.218571601	55.86794472	76.349_D,-10.937,-7.924,-9.900
LON-WEI-4d77710c-70	LON-WEI-4d77710c-70			0.36317907	33.19062805	68.9520_D,-8.783,-6.938,-7.582
LON-WEI-4d77710c-71	LON-WEI-4d77710c-71			1.4369572959999999	9.629392862_D,-11.157,-7.552,-8.516
LON-WEI-4d77710c-73	LON-WEI-4d77710c-73			0.255405292	78.96272469	97.735_D,-12.012,-8.268,-9.266
LON-WEI-4d77710c-74	LON-WEI-4d77710c-74			0.6349187270000001	78.9691124_D,-9.806,-7.095,-8.382
LON-WEI-4d77710c-75	LON-WEI-4d77710c-75			0.658113873	92.56868744	94.905_D,-11.363,-6.888,-8.378
LON-WEI-4d77710c-76	LON-WEI-4d77710c-76			0.152483085	47.13737869	96.656_D,-12.305,-8.680,-9.551
PET-UNK-7374c256-2	PET-UNK-7374c256-2			90.75757269			15.93609665	4.7976_D,-6.507,-7.705,-9.181
CHO-MSK-6e55470f-5	CHO-MSK-6e55470f-5			24.25843731			23.92453212	4.6211_D,-8.264,-9.832,-11.203
CHO-MSK-6e55470f-7	CHO-MSK-6e55470f-7		100.0	13.33239221			20.64639979	4_D,-7.506,-9.863,-11.242
CHO-MSK-6e55470f-14	CHO-MSK-6e55470f-14			7.394263689			99.5					0.0	Fal_D,-13.202,-8.834,-10.875
CHO-MSK-6e55470f-17	CHO-MSK-6e55470f-17			99.0			99.5						False	False	3_D,-6.548,-8.784,-10.259
CHO-MSK-6e55470f-19	CHO-MSK-6e55470f-19		41.78	48.77088343			99.5					0._D,-8.085,-9.812,-11.127
CHO-MSK-6e55470f-21	CHO-MSK-6e55470f-21			99.0									False	False	3-ami_D,-15.201,-10.016,-11.701
CHO-MSK-6e55470f-22	CHO-MSK-6e55470f-22		67.345	13.78813336			62.7319770_D,-8.316,-9.843,-11.243
